filename,psnr_a1,ssim_a1,lpips_a1,psnr_a2,ssim_a2,lpips_a2,psnr_a1_norm,psnr_a2_norm,ssim_a1_norm,ssim_a2_norm,lpips_a1_norm,lpips_a2_norm
000291.png,24.937259,0.713072,0.106076,24.801999,0.719748,0.080699,0.173781,0.160728,0.273429,0.297193,0.397097,0.577758
000618.png,25.333662,0.761695,0.085970,25.046873,0.749139,0.085333,0.212033,0.184358,0.446483,0.401794,0.540233,0.544763
000737.png,27.139690,0.797612,0.070359,27.513293,0.800931,0.054275,0.386311,0.422362,0.574314,0.586124,0.651363,0.765863
000825.png,29.264251,0.867067,0.036565,30.200976,0.877934,0.028062,0.591326,0.681718,0.821505,0.860181,0.891942,0.952469
000865.png,26.551254,0.789470,0.073699,26.409238,0.788768,0.074931,0.329528,0.315823,0.545336,0.542837,0.627587,0.618815
000885.png,26.781981,0.860571,0.080857,27.652135,0.868556,0.062575,0.351792,0.435760,0.798384,0.826804,0.576631,0.706776
001138.png,29.273416,0.871530,0.044623,29.830263,0.877993,0.038495,0.592211,0.645945,0.837391,0.860390,0.834574,0.878199
001422.png,28.308860,0.829462,0.032033,28.596456,0.835878,0.029245,0.499133,0.526885,0.687668,0.710504,0.924199,0.944047
001442.png,25.375521,0.762350,0.107000,26.178560,0.776520,0.072943,0.216072,0.293564,0.448815,0.499246,0.390518,0.632968
001487.png,31.182585,0.906703,0.033527,31.486614,0.911042,0.030435,0.776441,0.805780,0.962572,0.978013,0.913568,0.935580
001502.png,25.904600,0.817839,0.044567,26.337420,0.825707,0.041220,0.267127,0.308893,0.646301,0.674304,0.834976,0.858804
001543.png,26.431450,0.780970,0.088943,27.348426,0.810475,0.051756,0.317967,0.406453,0.515084,0.620092,0.519070,0.783793
001778.png,29.351175,0.868885,0.031501,29.487680,0.870542,0.028187,0.599714,0.612887,0.827976,0.833875,0.927992,0.951584
001848.png,24.791355,0.782742,0.108068,26.048917,0.804209,0.064404,0.159701,0.281053,0.521388,0.597792,0.382920,0.693757
002108.png,26.641636,0.744566,0.076231,26.753689,0.734612,0.076379,0.338249,0.349062,0.385518,0.350091,0.609561,0.608509
002140.png,26.088366,0.801560,0.074538,25.866468,0.786237,0.085874,0.284860,0.263447,0.588364,0.533827,0.621612,0.540913
002292.png,24.195550,0.713558,0.124345,24.526802,0.727755,0.115136,0.102207,0.134172,0.275162,0.325688,0.267044,0.332600
002342.png,28.396748,0.781168,0.055327,28.861501,0.789577,0.048479,0.507614,0.552462,0.515786,0.545716,0.758372,0.807127
002608.png,28.946314,0.832045,0.038821,28.970730,0.831782,0.036154,0.560646,0.563002,0.696861,0.695923,0.875878,0.894867
002632.png,25.192741,0.705649,0.128382,26.683633,0.747590,0.082374,0.198434,0.342302,0.247012,0.396281,0.238303,0.565832
002764.png,25.642891,0.726427,0.104939,27.531855,0.764135,0.058522,0.241873,0.424154,0.320960,0.455166,0.405190,0.735626
003584.png,26.976682,0.770248,0.051392,27.410276,0.778162,0.043752,0.370581,0.412421,0.476922,0.505090,0.786384,0.840776
003771.png,28.084177,0.809620,0.046092,28.374213,0.816206,0.043353,0.477452,0.505439,0.617050,0.640489,0.824119,0.843614
003821.png,30.190411,0.838393,0.038249,30.246172,0.838052,0.036281,0.680699,0.686079,0.719455,0.718239,0.879951,0.893958
003901.png,24.404860,0.694013,0.114896,25.370434,0.728621,0.063909,0.122405,0.215581,0.205601,0.328771,0.334311,0.697284
003959.png,24.056738,0.787468,0.119581,25.344871,0.799384,0.083875,0.088812,0.213114,0.538211,0.580618,0.300961,0.555145
004034.png,29.270569,0.818148,0.045594,29.823594,0.824287,0.042293,0.591936,0.645302,0.647399,0.669251,0.827662,0.851164
004233.png,31.419896,0.855553,0.041790,31.690207,0.861528,0.036026,0.799341,0.825426,0.780527,0.801793,0.854740,0.895779
004392.png,31.626022,0.888839,0.035115,32.168820,0.893800,0.030665,0.819232,0.871611,0.898995,0.916650,0.902261,0.933941
004448.png,25.474582,0.780542,0.082147,27.446372,0.823288,0.049799,0.225631,0.415905,0.513560,0.665695,0.567446,0.797727
004760.png,24.107079,0.677932,0.113497,24.899434,0.697591,0.081336,0.093670,0.170131,0.148367,0.218332,0.344273,0.573217
004955.png,30.815383,0.876385,0.023500,30.856361,0.875576,0.022708,0.741007,0.744961,0.854668,0.851788,0.984949,0.990588
005286.png,27.738399,0.809729,0.057285,26.117440,0.769594,0.086554,0.444085,0.287666,0.617437,0.474595,0.744439,0.536071
005569.png,30.384016,0.840106,0.039297,30.380671,0.840730,0.037625,0.699381,0.699058,0.725552,0.727771,0.872492,0.884394
005596.png,25.575987,0.831423,0.044992,25.884144,0.837036,0.039351,0.235416,0.265153,0.694646,0.714625,0.831949,0.872102
005604.png,25.352925,0.679738,0.086323,25.204023,0.684413,0.076811,0.213891,0.199523,0.154795,0.171433,0.537716,0.605434
